username	gist_url
tekkac	https://gist.github.com/tekkac/07302178e0f0b881fdcd4ba4e03a03c6
uoksana	https://gist.github.com/uoksana/2b46e27d7a1a4a390c44c40f3c34da4c
v0-e	https://gist.github.com/v0-e/d8ee7ce32401945a7c13ea0d29b6bb84
vacekj	https://gist.github.com/vacekj/3d753dfbdd5737fdae571ac2a9b8fc7d
vitorpy	https://gist.github.com/vitorpy/10f56ec11dcf3ef9a3a8e6412f204098
vplasencia	https://gist.github.com/vplasencia/255614f4b4fd155ba621eab9f9e9cff3
wanisili	https://gist.github.com/wanisili/07879f79785f3a39f1b509289ac2c87b
weiihann	https://gist.github.com/weiihann/c2ad59f22f548e5f1b2fba96b0a3ce55
x-senpai-x	https://gist.github.com/x-senpai-x/3078665bab527bfb4ddab01bac8e2ee0
yaksetig	https://gist.github.com/yaksetig/7072f9f125e5f5d4e47121ff58f58710
yi-sun	https://gist.github.com/yi-sun/1addc501b3bb71a1baf9a6c1dfba686e
yinxinyu-byte	https://gist.github.com/yinxinyu-byte/1c50b2df58a32ffe5bbddfbc61392af2
