username	gist_url
nvmb3r	https://gist.github.com/nvmb3r/54c5f6718a6dcf9b2ae378e93edc849b
ph3t	https://gist.github.com/ph3t/cccdd7501c978b87093ee80b4b0e0c68
philsippl	https://gist.github.com/philsippl/c21708ba5e2ef3e4bc8e5c35138bcb50
phuchoangle	https://gist.github.com/phuchoangle/c0fa7ad6f7372da48cb0b9d4366e67fc
piohei	https://gist.github.com/piohei/93843d5b072e125b8bd547bb98819b62
prabal-banerjee	https://gist.github.com/prabal-banerjee/7f73296eaaea1272a9a0d0f2119604e6
qosmonot	https://gist.github.com/qosmonot/01b5f7d29c75dea21a253de678e6bd2d
r3ld3v	https://gist.github.com/r3ld3v/41b55c3feb9c023f92f00230641ee548
r4keta	https://gist.github.com/r4keta/b737f1fcae302f32c0cea6d9bb5da39c
recmo	https://gist.github.com/recmo/cd22d68b361b4b848a89189629882f22
rezabfil-sec	https://gist.github.com/rezabfil-sec/fd0640d2cb66c82cb92d8f3bf17e4971
ryo1111-qqq	https://gist.github.com/ryo1111-qqq/d0329fbe099b1ef53302b50d4cfda609
sknuth	https://gist.github.com/sknuth/05cd2bbbbd0b194536e6fe6025c8715c
sm-stack	https://gist.github.com/sm-stack/dafceb6ff1e87ce96f6699e89672e0c0
stefanrosscohen	https://gist.github.com/stefanrosscohen/81162fe7426ab362b2ecf48c900b8dae
suyash67	https://gist.github.com/suyash67/777f04c36987b2adf536b066e8a1d2af
td-lgd	https://gist.github.com/td-lgd/cb3738389b55f3c9a5e3205876b0df02
tekkac	https://gist.github.com/tekkac/07302178e0f0b881fdcd4ba4e03a03c6
uoksana	https://gist.github.com/uoksana/2b46e27d7a1a4a390c44c40f3c34da4c
v0-e	https://gist.github.com/v0-e/d8ee7ce32401945a7c13ea0d29b6bb84
vacekj	https://gist.github.com/vacekj/3d753dfbdd5737fdae571ac2a9b8fc7d
vitorpy	https://gist.github.com/vitorpy/10f56ec11dcf3ef9a3a8e6412f204098
vplasencia	https://gist.github.com/vplasencia/d55229965aed97b73006a95d61dd20f5
wanisili	https://gist.github.com/wanisili/07879f79785f3a39f1b509289ac2c87b
yaksetig	https://gist.github.com/yaksetig/7072f9f125e5f5d4e47121ff58f58710
yi-sun	https://gist.github.com/yi-sun/8075eb0683bcfa1fdba98f5dde2ec444
yinxinyu-byte	https://gist.github.com/yinxinyu-byte/1c50b2df58a32ffe5bbddfbc61392af2
